name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,state,url,main_category
La California Bakery,"La California Bakery, 17351 Valley Blvd, La Puente, CA 91744",34.0111037,-117.9256928,Bakery,1.0,1,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d5f615dce34b:0x8d3c23efce2ed07e?authuser=-1&hl=en&gl=us,Bakery
Rafi's Pastry,"Rafi's Pastry, 1250 W Glenoaks Blvd # B, Glendale, CA 91201",34.1659429,-118.2832213,"Cake shop, Wedding bakery",5.0,8,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c0115c969875:0xcd7a270c677942d8?authuser=-1&hl=en&gl=us,Cake shop
Schwartz Bakery,"Schwartz Bakery, 1730 Cordova St, Los Angeles, CA 90007",34.038773899999995,-118.295505,Bakery,4.4,8,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c78bc46aa503:0xc0b9ad9f607ec02e?authuser=-1&hl=en&gl=us,Bakery
La Matcha Cafe,"La Matcha Cafe, 1828 El Camino Real UNIT 102, Burlingame, CA 94010",37.5955346,-122.3838125,"Lunch restaurant, Bakery, Breakfast restaurant, Bubble tea store, Cafe, Caterer, Coffee shop, Cupcake shop, Deli, Restaurant, Sandwich shop",4.9,28,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f7792bd0c683d:0xefefd9d96f8fcb11?authuser=-1&hl=en&gl=us,Lunch restaurant
Wetzel's Pretzels,"Wetzel's Pretzels, 7537 Carson Blvd, Long Beach, CA 90808",33.8300579,-118.0874018,"Pretzel store, Bakery",3.0,5,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd2ddc45178587:0xebc6d7463c2901e0?authuser=-1&hl=en&gl=us,Pretzel store
Teres Bakery,"Teres Bakery, 1260 Long Beach Blvd, Long Beach, CA 90813",33.7824482,-118.1890146,Bakery,4.4,15,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd31449770451b:0x4fddd01ff64e4724?authuser=-1&hl=en&gl=us,Bakery
Express Bakery La Salvadoreña,"Express Bakery La Salvadoreña, 4250 Phelan Rd, Phelan, CA 92371",34.4269812,-117.56916,Bakery,4.9,15,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c315687cd8bddb:0x921b0db291747add?authuser=-1&hl=en&gl=us,Bakery
Sadie Rose Baking Co,"Sadie Rose Baking Co, 2614 Temple Heights Dr, Oceanside, CA 92056",33.2145541,-117.2677784,"Wholesale bakery, Bakery",4.4,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80d9535e68103255:0xf8807b5cf7d43a79?authuser=-1&hl=en&gl=us,Wholesale bakery
Delcious Pastry & Bakery,"Delcious Pastry & Bakery, 2346 W Pico Blvd, Los Angeles, CA 90006",34.0469091,-118.2879942,Bakery,4.7,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c7855224b75b:0xb897f13e332e0241?authuser=-1&hl=en&gl=us,Bakery
Panaderia Don Chava Bakery,"Panaderia Don Chava Bakery, 2828 Niles St, Bakersfield, CA 93306",35.3763741,-118.9551254,Bakery,3.7,18,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6bf7afc8fc57:0xec79d2570cab0ddb?authuser=-1&hl=en&gl=us,Bakery
Nothing Bundt Cakes,"Nothing Bundt Cakes, 221 Lake Merced Blvd, Daly City, CA 94015",37.6998166,-122.4838323,"Bakery, Cake shop",4.3,28,medium,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f7c5c7f58d549:0xab0b2de0814ad13?authuser=-1&hl=en&gl=us,Bakery
